movieId,title,genres,tmdbId,language,release_year,country
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,862,en,1995,United States of America
2,Jumanji (1995),Adventure|Children|Fantasy,8844,en,1995,United States of America
3,Grumpier Old Men (1995),Comedy|Romance,15602,en,1995,United States of America
4,Waiting to Exhale (1995),Comedy|Drama|Romance,31357,en,1995,United States of America
5,Father of the Bride Part II (1995),Comedy,11862,en,1995,United States of America
6,Heat (1995),Action|Crime|Thriller,949,en,1995,United States of America
7,Sabrina (1995),Comedy|Romance,11860,en,1995,Germany
8,Tom and Huck (1995),Adventure|Children,45325,en,1995,United States of America
9,Sudden Death (1995),Action,9091,en,1995,United States of America
10,GoldenEye (1995),Action|Adventure|Thriller,710,en,1995,United Kingdom
11,"American President, The (1995)",Comedy|Drama|Romance,9087,en,1995,United States of America
12,Dracula: Dead and Loving It (1995),Comedy|Horror,12110,en,1995,France
13,Balto (1995),Adventure|Animation|Children,21032,en,1995,United States of America
14,Nixon (1995),Drama,10858,en,1995,United States of America
15,Cutthroat Island (1995),Action|Adventure|Romance,1408,en,1995,France
16,Casino (1995),Crime|Drama,524,en,1995,France
17,Sense and Sensibility (1995),Drama|Romance,4584,en,1995,United Kingdom
18,Four Rooms (1995),Comedy,5,en,1995,United States of America
19,Ace Ventura: When Nature Calls (1995),Comedy,9273,en,1995,United States of America
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,11517,en,1995,United States of America
21,Get Shorty (1995),Comedy|Crime|Thriller,8012,en,1995,United States of America
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1710,en,1995,United States of America
23,Assassins (1995),Action|Crime|Thriller,9691,en,1995,France
24,Powder (1995),Drama|Sci-Fi,12665,en,1995,United States of America
25,Leaving Las Vegas (1995),Drama|Romance,451,en,1995,France
26,Othello (1995),Drama,16420,en,1995,Italy
27,Now and Then (1995),Children|Drama,9263,en,1995,United States of America
28,Persuasion (1995),Drama|Romance,17015,en,1995,France
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,902,fr,1995,Belgium
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,37557,zh,1995,China
31,Dangerous Minds (1995),Drama,9909,en,1995,United States of America
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,63,en,1995,United States of America
33,Wings of Courage (1995),Adventure|Romance|IMAX,78802,fr,1995,France
34,Babe (1995),Children|Drama,9598,en,1995,Australia
35,Carrington (1995),Drama|Romance,47018,en,1995,France
36,Dead Man Walking (1995),Crime|Drama,687,en,1995,United States of America
37,Across the Sea of Time (1995),Documentary|IMAX,139405,en,1995,United States of America
38,It Takes Two (1995),Children|Comedy,33689,en,1995,United States of America
39,Clueless (1995),Comedy|Romance,9603,en,1995,United States of America
40,"Cry, the Beloved Country (1995)",Drama,34615,en,1995,South Africa
41,Richard III (1995),Drama|War,31174,en,1995,United Kingdom
42,Dead Presidents (1995),Action|Crime|Drama,11443,en,1995,United States of America
43,Restoration (1995),Drama,35196,en,1995,United States of America
44,Mortal Kombat (1995),Action|Adventure|Fantasy,9312,en,1995,United States of America
45,To Die For (1995),Comedy|Drama|Thriller,577,en,1995,United Kingdom
46,How to Make an American Quilt (1995),Drama|Romance,11861,en,1995,United States of America
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,807,en,1995,United States of America
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,10530,en,1995,United States of America
49,When Night Is Falling (1995),Drama|Romance,8391,en,1995,Canada
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,629,en,1995,United States of America
51,Guardian Angel (1994),Action|Drama|Thriller,117164,en,1994,United States of America
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,11448,en,1995,United States of America
53,Lamerica (1994),Adventure|Drama,49133,it,1994,France
54,"Big Green, The (1995)",Children|Comedy,26441,en,1995,United States of America
55,Georgia (1995),Drama,97406,en,1995,France
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,124057,en,1995,Canada
57,Home for the Holidays (1995),Drama,9089,en,1995,United States of America
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,11010,it,1994,Belgium
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,99040,fr,1995,Canada
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,11359,en,1995,United States of America
61,Eye for an Eye (1996),Drama|Thriller,17182,en,1996,United States of America
62,Mr. Holland's Opus (1995),Drama,2054,en,1995,United States of America
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,10607,en,1996,United States of America
64,Two if by Sea (1996),Comedy|Romance,19760,en,1996,United States of America
65,Bio-Dome (1996),Comedy,9536,en,1996,United States of America
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,11525,en,1996,United States of America
67,Two Bits (1995),Drama,40628,en,1995,United States of America
68,French Twist (Gazon maudit) (1995),Comedy|Romance,4482,fr,1995,France
69,Friday (1995),Comedy,10634,en,1995,United States of America
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,755,en,1996,United States of America
71,Fair Game (1995),Action,11859,en,1995,United States of America
72,Kicking and Screaming (1995),Comedy|Drama,28387,en,1995,United States of America
73,"Misérables, Les (1995)",Drama|War,48750,fr,1995,France
74,Bed of Roses (1996),Drama|Romance,20927,en,1996,United States of America
75,Big Bully (1996),Comedy|Drama,36929,en,1996,United States of America
76,Screamers (1995),Action|Sci-Fi|Thriller,9102,en,1995,Canada
77,Nico Icon (1995),Documentary,124626,en,1995,Germany
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,27526,en,1995,United States of America
79,"Juror, The (1996)",Drama|Thriller,9623,en,1996,United States of America
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,46785,fa,1995,Iran
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,400,en,1995,United States of America
82,Antonia's Line (Antonia) (1995),Comedy|Drama,880,nl,1995,Netherlands
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,146599,en,1996,United States of America
84,Last Summer in the Hamptons (1995),Comedy|Drama,188588,en,1995,United States of America
85,Angels and Insects (1995),Drama|Romance,8447,en,1995,United Kingdom
86,White Squall (1996),Action|Adventure|Drama,10534,en,1996,United States of America
87,Dunston Checks In (1996),Children|Comedy,17414,en,1996,United States of America
88,Black Sheep (1996),Comedy,13997,en,1996,United States of America
89,Nick of Time (1995),Action|Thriller,2086,en,1995,United States of America
90,"Journey of August King, The (1995)",Drama,61548,en,1995,United States of America
92,Mary Reilly (1996),Drama|Horror|Thriller,9095,en,1996,United States of America
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,12158,en,1995,United States of America
94,Beautiful Girls (1996),Comedy|Drama|Romance,9283,en,1996,United States of America
95,Broken Arrow (1996),Action|Adventure|Thriller,9208,en,1996,United States of America
96,In the Bleak Midwinter (1995),Comedy|Drama,40154,en,1995,United Kingdom
97,"Hate (Haine, La) (1995)",Crime|Drama,406,fr,1995,France
98,Shopping (1994),Action|Thriller,45549,en,1994,United Kingdom
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,63076,en,1995,United Kingdom
100,City Hall (1996),Drama|Thriller,11062,en,1996,United States of America
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,13685,en,1996,United States of America
102,Mr. Wrong (1996),Comedy,47475,en,1996,United States of America
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,2045,en,1996,United States of America
104,Happy Gilmore (1996),Comedy,9614,en,1996,United States of America
105,"Bridges of Madison County, The (1995)",Drama|Romance,688,en,1995,United States of America
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,11907,de,1994,Germany
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,10874,en,1996,United Kingdom
108,Catwalk (1996),Documentary,89333,en,1995,
109,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller,96357,en,1995,
110,Braveheart (1995),Action|Drama|War,197,en,1995,United States of America
111,Taxi Driver (1976),Crime|Drama|Thriller,103,en,1976,United States of America
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,33542,cn,1995,Hong Kong
113,Before and After (1996),Drama|Mystery,43566,en,1996,United States of America
114,Margaret's Museum (1995),Drama,71754,en,1995,Canada
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,43612,fr,1995,France
116,Anne Frank Remembered (1995),Documentary,51352,en,1995,Netherlands
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,16934,en,1995,France
118,If Lucy Fell (1996),Comedy|Romance,10324,en,1996,United States of America
119,"Steal Big, Steal Little (1995)",Comedy,78406,en,1995,United States of America
120,Race the Sun (1996),Adventure|Comedy|Drama,55731,en,1996,United States of America
121,"Boys of St. Vincent, The (1992)",Drama,32119,en,1992,Canada
122,Boomerang (1992),Comedy|Romance,11066,en,1992,United States of America
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,11104,cn,1994,Hong Kong
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,37975,it,1995,Italy
125,Flirting With Disaster (1996),Comedy,2074,en,1996,United States of America
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,27793,en,1994,Germany
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama,44284,ar,1994,Tunisia
128,Jupiter's Wife (1994),Documentary,290157,en,1995,United States of America
129,Pie in the Sky (1996),Comedy|Romance,110972,en,1996,United States of America
130,Angela (1995),Drama,32622,en,1995,United States of America
131,Frankie Starlight (1995),Drama|Romance,73067,en,1995,France
132,Jade (1995),Thriller,11863,en,1995,United States of America
133,Nueba Yol (1995),Comedy|Drama,55475,es,1995,Dominican Republic
134,Sonic Outlaws (1995),Documentary,124636,en,1995,United States of America
135,Down Periscope (1996),Comedy,9101,en,1996,United States of America
136,From the Journals of Jean Seberg (1995),Documentary,123360,en,1995,United States of America
137,Man of the Year (1995),Documentary,5757,en,1995,United States of America
138,"Neon Bible, The (1995)",Drama,39428,en,1995,Spain
139,Target (1995),Action|Drama,124639,en,1995,India
140,Up Close and Personal (1996),Drama|Romance,9302,en,1996,United States of America
141,"Birdcage, The (1996)",Comedy,11000,en,1996,United States of America
143,Gospa (1995),Drama,249882,hr,1995,Croatia
144,"Brothers McMullen, The (1995)",Comedy,16388,en,1995,United States of America
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,9737,en,1995,United States of America
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,30765,en,1995,United States of America
147,"Basketball Diaries, The (1995)",Drama,10474,en,1995,United States of America
148,"Awfully Big Adventure, An (1995)",Drama,22279,en,1995,United Kingdom
149,Amateur (1994),Crime|Drama|Thriller,30157,en,1994,France
150,Apollo 13 (1995),Adventure|Drama|IMAX,568,en,1995,United States of America
